,Date,Home Team,Away Team,Prediction 1,Prediction 2,Decision
0,2025-05-03,Heracles,Almere City,"0,74","0,23","Action: Away goals under 1.5 and Draw no bet 1X 
 And Goals Under 3.5
"
1,2025-05-03,Sparta Rotterdam,Go Ahead Eagles,"0,68","0,03","Action: Away goals under 1.5 and Draw no bet 1X 
 And Goals Under 3.5
"
2,2025-05-03,Willem II,Waalwijk,"0,01","0,60","Action: Goals Under 3.5
"
3,2025-05-03,Portsmouth,West Brom,"1,98","1,00","Action: Draw no bet 1X 
"
4,2025-05-03,Stoke,Hull,"0,24","0,50","Action: Goals Under 3.5
"
5,2025-05-03,Go Ahead Eagles,Ajax,"0,90","0,54","Action: Goals Under 3.5
"
6,2025-05-03,Nijmegen,Heracles,"0,26","0,00","Action: Goals Under 3.5
"
7,2025-05-03,Waalwijk,Sparta Rotterdam,"1,84","0,96","Action: Away goals under 1.5 and Draw no bet 1X 
"
8,2025-05-03,Aston Villa,Wolves,"1,20","0,23","Action: Away goals under 1.5 and Draw no bet 1X 
 And Goals Under 3.5
"
9,2025-05-03,Crystal Palace,Man United,"1,20","0,53","Action: Away goals under 1.5 and Draw no bet 1X 
 And Goals Under 3.5
"
10,2025-05-03,Leicester,Everton,"0,79","0,23","Action: Away goals under 1.5 and Draw no bet 1X 
 And Goals Under 3.5
"
11,2025-05-03,Southampton,Ipswich,"1,16","0,45","Action: Away goals under 1.5 and Draw no bet 1X 
 And Goals Under 3.5
"
12,2025-05-03,West Ham,Chelsea,"1,93","0,99","Action: Away goals under 1.5 and Draw no bet 1X 
"
13,2025-05-03,Bristol City,Oxford,"0,08","1,00","Action: Double Chance X2 
 And Goals Under 3.5
"
14,2025-05-03,Burnley,Portsmouth,"0,58","0,95","Action: BTTS/O1.5
 And Goals Under 3.5
"
15,2025-05-03,Cardiff,Leeds,"1,99","0,00","Action: Away goals under 1.5 and Draw no bet 1X 
 And Goals Under 3.5
"
16,2025-05-03,Coventry,Swansea,"0,19","0,00","Action: Goals Under 3.5
"
17,2025-05-03,Luton,Sheffield Weds,"1,20","0,22","Action: Away goals under 1.5 and Draw no bet 1X 
 And Goals Under 3.5
"
18,2025-05-03,QPR,Millwall,"0,91","0,93","Action: Goals Under 3.5
"
19,2025-05-03,Sheffield United,Derby,"0,00","0,98","Action: Double Chance X2 
 And Goals Under 3.5
"
20,2025-05-03,Almere City,Twente,"1,48","0,97","Action: Away goals under 1.5 and Draw no bet 1X 
 And Goals Under 3.5
"
21,2025-05-03,Feyenoord,NAC Breda,"0,72","0,92","Action: Goals Under 3.5
"
22,2025-05-03,Heerenveen,Groningen,"1,30","1,00","Action: Goals Under 3.5
"
23,2025-05-03,Preston,Blackburn,"1,16","0,53","Action: Away goals under 1.5 and Draw no bet 1X 
 And Goals Under 3.5
"
24,2025-05-03,Heracles,Heerenveen,"0,82","0,22","Action: Away goals under 1.5 and Draw no bet 1X 
 And Goals Under 3.5
"
25,2025-05-03,Plymouth,Luton,"0,95","0,04","Action: Away goals under 1.5 and Draw no bet 1X 
 And Goals Under 3.5
"
26,2025-05-03,Nijmegen,Feyenoord,"0,37","0,92","Action: Goals Under 3.5
"
27,2025-05-03,Chelsea,Brighton,"1,98","0,35","Action: Away goals under 1.5 and Draw no bet 1X 
 And Goals Under 3.5
"
28,2025-05-03,Everton,Crystal Palace,"1,27","0,87","Action: Goals Under 3.5
"
29,2025-05-03,Nott'm Forest,Fulham,"0,93","0,98","Action: Goals Under 3.5
"
30,2025-05-03,Blackburn,QPR,"0,48","1,00","Action: BTTS/O1.5
 And Goals Under 3.5
"
31,2025-05-03,Derby,Norwich,"1,20","0,01","Action: Away goals under 1.5 and Draw no bet 1X 
 And Goals Under 3.5
"
32,2025-05-03,Hull,Cardiff,"1,04","0,56","Action: Goals Under 3.5
"
33,2025-05-03,Leeds,Coventry,"0,36","0,51","Action: Goals Under 3.5
"
34,2025-05-03,Middlesbrough,Stoke,"0,11","0,00","Action: Goals Under 3.5
"
35,2025-05-03,Millwall,Preston,"0,14","0,58","Action: Goals Under 3.5
"
36,2025-05-03,Oxford,Burnley,"0,09","0,08","Action: Goals Under 3.5
"
37,2025-05-03,Portsmouth,Sheffield United,"1,91","0,62","Action: Away goals under 1.5 and Draw no bet 1X 
"
