,Date,Home Team,Away Team,Prediction 1,Prediction 2,Decision,Stats
0,2025-03-12,Leeds,Millwall,"2,06","0,68","Action: Draw no bet 1X  , Risky Double Chance 1X
","Home: Leeds, Away: Millwall
Pts (All M): 76 VS 48
Pts Against Higher: 23 VS 2
Pts (Last 5): 14 VS 13
Position: 2 VS 12

BTTS (All M): 0.33 VS 0.5
Shots (All M):  18.6 VS 10.7
Shots (Last 5):  17.8 VS 10.7
Shots (AHR):  16.2 VS 10.3

Shots Tar (All M):  6.4 VS 3.7
Shots Tar (Last 5):  5.7 VS 4.0
Shots Tar (AHR):  5.0 VS 3.3

HT Gs (All M)):  1.1 VS 0.3
HT Gs (Last 5):  0.8 VS 0.3
HT Gs (AHR):  0.7 VS 0.0
FT Gs (All M)):  2.5 VS 0.9
FT Gs (Last 5):  2.7 VS 1.2
FT Gs (AHR):  1.9 VS 1.0

Scored at least 1 Goal (All M):  0.94 VS 0.72
Average conceded per match (All M): 0.5 VS 1.11
Scored at least 1 Goal (Last 5)):  1.0 VS 1.0
Scored at least 1 Goal (AHR):  0.9 VS 0.33
"
1,2025-03-12,Portsmouth,Plymouth,"2,43","0,38","Action: Draw no bet 1X  , Risky Double Chance 1X
","Home: Portsmouth, Away: Plymouth
Pts (All M): 42 VS 30
Pts Against Higher: 32 VS 2
Pts (Last 5): 13 VS 3
Position: 17 VS 24

BTTS (All M): 0.5 VS 0.28
Shots (All M):  13.8 VS 6.8
Shots (Last 5):  14.8 VS 5.5
Shots (AHR):  13.8 VS 7.9

Shots Tar (All M):  4.4 VS 1.8
Shots Tar (Last 5):  4.5 VS 1.7
Shots Tar (AHR):  4.4 VS 2.1

HT Gs (All M)):  0.7 VS 0.2
HT Gs (Last 5):  0.7 VS 0.0
HT Gs (AHR):  0.7 VS 0.2
FT Gs (All M)):  1.5 VS 0.3
FT Gs (Last 5):  1.3 VS 0.5
FT Gs (AHR):  1.5 VS 0.3

Scored at least 1 Goal (All M):  0.67 VS 0.28
Average conceded per match (All M): 0.89 VS 2.33
Scored at least 1 Goal (Last 5)):  0.67 VS 0.33
Scored at least 1 Goal (AHR):  0.67 VS 0.23
"
2,2025-03-15,Ipswich,Nott'm Forest,"0,35","2,72","Action: Double Chance X2 , Risky Double Chance X2
","Home: Ipswich, Away: Nott'm Forest
Pts (All M): 17 VS 51
Pts Against Higher: 3 VS 20
Pts (Last 5): 3 VS 9
Position: 19 VS 3

BTTS (All M): 0.5 VS 0.43
Shots (All M):  11.6 VS 12.4
Shots (Last 5):  10.7 VS 12.5
Shots (AHR):  7.8 VS 11.5

Shots Tar (All M):  3.9 VS 4.4
Shots Tar (Last 5):  4.3 VS 4.5
Shots Tar (AHR):  3.4 VS 4.1

HT Gs (All M)):  0.5 VS 0.6
HT Gs (Last 5):  0.5 VS 1.0
HT Gs (AHR):  0.2 VS 0.7
FT Gs (All M)):  0.7 VS 1.6
FT Gs (Last 5):  0.7 VS 1.8
FT Gs (AHR):  0.4 VS 1.6

Scored at least 1 Goal (All M):  0.57 VS 0.79
Average conceded per match (All M): 2.14 VS 1.64
Scored at least 1 Goal (Last 5)):  0.5 VS 0.83
Scored at least 1 Goal (AHR):  0.2 VS 0.77
"
4,2025-03-15,Southampton,Wolves,"0,74","1,98","Action: Double Chance X2 , Risky Double Chance X2
","Home: Southampton, Away: Wolves
Pts (All M): 9 VS 23
Pts Against Higher: 3 VS 12
Pts (Last 5): 0 VS 7
Position: 20 VS 17

BTTS (All M): 0.46 VS 0.64
Shots (All M):  9.4 VS 11.9
Shots (Last 5):  10.7 VS 11.7
Shots (AHR):  8.8 VS 11.9

Shots Tar (All M):  3.5 VS 4.4
Shots Tar (Last 5):  3.2 VS 4.5
Shots Tar (AHR):  3.2 VS 4.4

HT Gs (All M)):  0.5 VS 0.8
HT Gs (Last 5):  0.2 VS 1.0
HT Gs (AHR):  0.3 VS 0.8
FT Gs (All M)):  0.7 VS 1.4
FT Gs (Last 5):  0.3 VS 1.3
FT Gs (AHR):  0.5 VS 1.4

Scored at least 1 Goal (All M):  0.54 VS 0.79
Average conceded per match (All M): 2.85 VS 2.14
Scored at least 1 Goal (Last 5)):  0.33 VS 0.83
Scored at least 1 Goal (AHR):  0.45 VS 0.79
"
5,2025-03-15,RB Leipzig,Dortmund,"3,19","1,25","Action: Draw no bet 1X , O1.5  , Risky Double Chance 1X
","Home: RB Leipzig, Away: Dortmund
Pts (All M): 39 VS 35
Pts Against Higher: 14 VS 4
Pts (Last 5): 11 VS 9
Position: 6 VS 11

BTTS (All M): 0.58 VS 0.67
Shots (All M):  13.3 VS 11.7
Shots (Last 5):  14.3 VS 14.5
Shots (AHR):  13.0 VS 9.6

Shots Tar (All M):  5.5 VS 3.4
Shots Tar (Last 5):  6.0 VS 3.5
Shots Tar (AHR):  6.0 VS 2.8

HT Gs (All M)):  0.8 VS 0.5
HT Gs (Last 5):  1.3 VS 0.7
HT Gs (AHR):  0.9 VS 0.8
FT Gs (All M)):  1.8 VS 1.2
FT Gs (Last 5):  2.2 VS 1.5
FT Gs (AHR):  2.1 VS 1.2

Scored at least 1 Goal (All M):  0.83 VS 0.75
Average conceded per match (All M): 1.25 VS 1.92
Scored at least 1 Goal (Last 5)):  1.0 VS 0.67
Scored at least 1 Goal (AHR):  0.88 VS 0.8
"
3,2025-03-15,Man City,Brighton,"3,18","1,52","Action: O1.5 
","Home: Man City, Away: Brighton
Pts (All M): 47 VS 46
Pts Against Higher: 10 VS 8
Pts (Last 5): 10 VS 11
Position: 6 VS 7

BTTS (All M): 0.62 VS 0.64
Shots (All M):  17.9 VS 12.5
Shots (Last 5):  14.3 VS 11.7
Shots (AHR):  18.4 VS 12.8

Shots Tar (All M):  6.4 VS 5.2
Shots Tar (Last 5):  5.5 VS 5.8
Shots Tar (AHR):  7.2 VS 4.4

HT Gs (All M)):  1.4 VS 0.7
HT Gs (Last 5):  1.3 VS 0.5
HT Gs (AHR):  1.4 VS 0.8
FT Gs (All M)):  2.2 VS 1.8
FT Gs (Last 5):  2.2 VS 2.0
FT Gs (AHR):  2.4 VS 1.2

Scored at least 1 Goal (All M):  0.85 VS 0.93
Average conceded per match (All M): 1.31 VS 1.71
Scored at least 1 Goal (Last 5)):  0.83 VS 0.83
Scored at least 1 Goal (AHR):  0.8 VS 0.88
"
11,2025-03-16,Venezia,Napoli,"0,31","1,58","Action: Double Chance X2 , Risky Double Chance X2
","Home: Venezia, Away: Napoli
Pts (All M): 19 VS 60
Pts Against Higher: 1 VS 28
Pts (Last 5): 6 VS 11
Position: 19 VS 2

BTTS (All M): 0.46 VS 0.5
Shots (All M):  11.4 VS 10.2
Shots (Last 5):  9.5 VS 8.7
Shots (AHR):  10.0 VS 10.2

Shots Tar (All M):  4.0 VS 3.3
Shots Tar (Last 5):  2.8 VS 3.0
Shots Tar (AHR):  2.8 VS 3.3

HT Gs (All M)):  0.5 VS 0.9
HT Gs (Last 5):  0.5 VS 1.3
HT Gs (AHR):  0.0 VS 0.9
FT Gs (All M)):  0.9 VS 1.7
FT Gs (Last 5):  0.7 VS 2.0
FT Gs (AHR):  0.0 VS 1.7

Scored at least 1 Goal (All M):  0.54 VS 0.86
Average conceded per match (All M): 1.15 VS 0.93
Scored at least 1 Goal (Last 5)):  0.5 VS 1.0
Scored at least 1 Goal (AHR):  0.0 VS 0.86
"
7,2025-03-16,Brest,Reims,"2,57","0,34","Action: Draw no bet 1X  , Risky Double Chance 1X
","Home: Brest, Away: Reims
Pts (All M): 36 VS 22
Pts Against Higher: 23 VS 3
Pts (Last 5): 13 VS 2
Position: 9 VS 15

BTTS (All M): 0.58 VS 0.5
Shots (All M):  12.9 VS 11.6
Shots (Last 5):  14.3 VS 8.2
Shots (AHR):  12.9 VS 10.0

Shots Tar (All M):  5.8 VS 3.6
Shots Tar (Last 5):  7.0 VS 2.3
Shots Tar (AHR):  5.8 VS 3.0

HT Gs (All M)):  1.0 VS 0.5
HT Gs (Last 5):  1.2 VS 0.2
HT Gs (AHR):  1.0 VS 0.0
FT Gs (All M)):  2.1 VS 1.1
FT Gs (Last 5):  2.5 VS 0.3
FT Gs (AHR):  2.1 VS 0.5

Scored at least 1 Goal (All M):  0.92 VS 0.58
Average conceded per match (All M): 1.42 VS 1.58
Scored at least 1 Goal (Last 5)):  1.0 VS 0.33
Scored at least 1 Goal (AHR):  0.92 VS 0.33
"
8,2025-03-16,Lyon,Le Havre,"2,37","1,12","Action: Draw no bet 1X  , Risky Double Chance 1X
","Home: Lyon, Away: Le Havre
Pts (All M): 42 VS 21
Pts Against Higher: 20 VS 6
Pts (Last 5): 13 VS 8
Position: 6 VS 16

BTTS (All M): 0.5 VS 0.58
Shots (All M):  13.8 VS 9.3
Shots (Last 5):  13.0 VS 9.7
Shots (AHR):  14.0 VS 9.4

Shots Tar (All M):  6.4 VS 3.0
Shots Tar (Last 5):  5.5 VS 3.3
Shots Tar (AHR):  6.8 VS 2.6

HT Gs (All M)):  0.8 VS 0.4
HT Gs (Last 5):  0.8 VS 0.5
HT Gs (AHR):  0.8 VS 0.6
FT Gs (All M)):  2.0 VS 1.2
FT Gs (Last 5):  2.2 VS 1.7
FT Gs (AHR):  2.1 VS 1.3

Scored at least 1 Goal (All M):  0.83 VS 0.75
Average conceded per match (All M): 1.25 VS 1.75
Scored at least 1 Goal (Last 5)):  0.83 VS 1.0
Scored at least 1 Goal (AHR):  0.82 VS 0.71
"
10,2025-03-16,Roma,Cagliari,"2,53","0,84","Action: Draw no bet 1X  , Risky Double Chance 1X
","Home: Roma, Away: Cagliari
Pts (All M): 46 VS 26
Pts Against Higher: 22 VS 3
Pts (Last 5): 16 VS 5
Position: 7 VS 15

BTTS (All M): 0.5 VS 0.62
Shots (All M):  14.9 VS 9.2
Shots (Last 5):  14.7 VS 7.3
Shots (AHR):  13.3 VS 5.7

Shots Tar (All M):  5.1 VS 2.4
Shots Tar (Last 5):  5.5 VS 2.5
Shots Tar (AHR):  4.9 VS 1.2

HT Gs (All M)):  0.7 VS 0.4
HT Gs (Last 5):  1.2 VS 0.3
HT Gs (AHR):  0.7 VS 0.3
FT Gs (All M)):  2.1 VS 0.9
FT Gs (Last 5):  2.8 VS 0.8
FT Gs (AHR):  2.1 VS 0.7

Scored at least 1 Goal (All M):  0.86 VS 0.62
Average conceded per match (All M): 0.93 VS 1.46
Scored at least 1 Goal (Last 5)):  1.0 VS 0.67
Scored at least 1 Goal (AHR):  0.82 VS 0.67
"
