,Date,Home Team,Away Team,Prediction 1,Prediction 2,Decision,Stats
0,2024-12-10,Burnley,Derby,"1,39","0,12","Action: Draw no bet 1X 
","Home: Burnley, Away: Derby
Pts (All M): 37 VS 20
Pts Against Higher: 10 VS 0
Pts (Last 5): 9 VS 5
Position: 3 VS 16

BTTS (All M): 0.33 VS 0.7
Shots (All M):  12.6 VS 7.8
Shots (Last 5):  12.0 VS 7.4
Shots (AHR):  12.5 VS 6.3

Shots Tar (All M):  3.7 VS 2.3
Shots Tar (Last 5):  3.8 VS 2.0
Shots Tar (AHR):  3.7 VS 2.0

HT Gs (All M)):  0.6 VS 0.3
HT Gs (Last 5):  0.2 VS 0.4
HT Gs (AHR):  0.3 VS 0.0
FT Gs (All M)):  1.4 VS 0.9
FT Gs (Last 5):  0.8 VS 1.0
FT Gs (AHR):  0.8 VS 0.0

Scored at least 1 Goal (All M):  0.78 VS 0.7
Scored at least 1 Goal (Last 5)):  0.6 VS 0.8
Scored at least 1 Goal (AHR):  0.67 VS 0.0
"
1,2024-12-10,Sheffield Weds,Blackburn,"0,29","1,21","Action: U3.5
","Home: Sheffield Weds, Away: Blackburn
Pts (All M): 26 VS 31
Pts Against Higher: 0 VS 5
Pts (Last 5): 6 VS 9
Position: 9 VS 5

BTTS (All M): 0.5 VS 0.44
Shots (All M):  14.0 VS 8.2
Shots (Last 5):  12.6 VS 8.2
Shots (AHR):  11.7 VS 9.0

Shots Tar (All M):  4.1 VS 3.1
Shots Tar (Last 5):  3.6 VS 3.2
Shots Tar (AHR):  3.7 VS 2.5

HT Gs (All M)):  0.7 VS 0.4
HT Gs (Last 5):  0.8 VS 0.4
HT Gs (AHR):  0.3 VS 0.5
FT Gs (All M)):  1.4 VS 1.0
FT Gs (Last 5):  1.2 VS 1.2
FT Gs (AHR):  0.7 VS 1.0

Scored at least 1 Goal (All M):  0.7 VS 0.67
Scored at least 1 Goal (Last 5)):  0.8 VS 0.8
Scored at least 1 Goal (AHR):  0.33 VS 0.75
"
3,2024-12-11,Hull,Watford,"0,24","2,04","Action: Double Chance X2 
","Home: Hull, Away: Watford
Pts (All M): 15 VS 30
Pts Against Higher: 1 VS 7
Pts (Last 5): 2 VS 4
Position: 24 VS 7

BTTS (All M): 0.5 VS 0.56
Shots (All M):  11.8 VS 10.1
Shots (Last 5):  11.4 VS 10.6
Shots (AHR):  11.2 VS 10.1

Shots Tar (All M):  3.7 VS 3.6
Shots Tar (Last 5):  3.4 VS 3.4
Shots Tar (AHR):  2.6 VS 3.6

HT Gs (All M)):  0.5 VS 0.6
HT Gs (Last 5):  0.6 VS 0.6
HT Gs (AHR):  0.4 VS 0.6
FT Gs (All M)):  0.8 VS 1.4
FT Gs (Last 5):  0.6 VS 1.8
FT Gs (AHR):  0.4 VS 1.4

Scored at least 1 Goal (All M):  0.5 VS 0.56
Scored at least 1 Goal (Last 5)):  0.6 VS 0.6
Scored at least 1 Goal (AHR):  0.4 VS 0.56
"
2,2024-12-11,Cardiff,Preston,"0,73","0,56","Action: U3.5
","Home: Cardiff, Away: Preston
Pts (All M): 17 VS 19
Pts Against Higher: 6 VS 5
Pts (Last 5): 9 VS 4
Position: 21 VS 17

BTTS (All M): 0.22 VS 0.67
Shots (All M):  15.7 VS 9.4
Shots (Last 5):  20.8 VS 10.6
Shots (AHR):  13.1 VS 9.4

Shots Tar (All M):  6.1 VS 3.7
Shots Tar (Last 5):  8.2 VS 4.2
Shots Tar (AHR):  4.9 VS 3.7

HT Gs (All M)):  0.6 VS 0.6
HT Gs (Last 5):  0.8 VS 0.6
HT Gs (AHR):  0.1 VS 0.6
FT Gs (All M)):  1.2 VS 0.9
FT Gs (Last 5):  2.0 VS 1.0
FT Gs (AHR):  0.6 VS 0.9

Scored at least 1 Goal (All M):  0.56 VS 0.67
Scored at least 1 Goal (Last 5)):  0.8 VS 0.6
Scored at least 1 Goal (AHR):  0.43 VS 0.67
"
17,2024-12-14,Cesena,Cosenza,"2,81","2,06","Action: BTTS 
","Home: Cesena, Away: Cosenza
Pts (All M): 22 VS 20
Pts Against Higher: 13 VS 2
Pts (Last 5): 10 VS 9
Position: 6 VS 9

BTTS (All M): 0.62 VS 0.71
Shots (All M):  14.4 VS 13.7
Shots (Last 5):  15.4 VS 12.0
Shots (AHR):  16.0 VS 14.5

Shots Tar (All M):  6.1 VS 4.6
Shots Tar (Last 5):  6.4 VS 3.8
Shots Tar (AHR):  7.2 VS 4.5

HT Gs (All M)):  1.4 VS 0.6
HT Gs (Last 5):  1.2 VS 0.6
HT Gs (AHR):  1.4 VS 0.0
FT Gs (All M)):  2.1 VS 1.4
FT Gs (Last 5):  2.2 VS 1.4
FT Gs (AHR):  2.2 VS 1.5

Scored at least 1 Goal (All M):  1.0 VS 0.86
Scored at least 1 Goal (Last 5)):  1.0 VS 0.8
Scored at least 1 Goal (AHR):  1.0 VS 1.0
"
7,2024-12-14,Schalke 04,Fortuna Dusseldorf,"0,46","1,88","Action: Double Chance X2 
","Home: Schalke 04, Away: Fortuna Dusseldorf
Pts (All M): 16 VS 25
Pts Against Higher: 0 VS 13
Pts (Last 5): 4 VS 10
Position: 14 VS 5

BTTS (All M): 0.71 VS 0.43
Shots (All M):  16.1 VS 12.4
Shots (Last 5):  16.8 VS 12.8
Shots (AHR):  15.5 VS 12.0

Shots Tar (All M):  5.9 VS 4.4
Shots Tar (Last 5):  5.2 VS 4.4
Shots Tar (AHR):  6.5 VS 4.5

HT Gs (All M)):  1.3 VS 0.4
HT Gs (Last 5):  1.4 VS 0.6
HT Gs (AHR):  0.0 VS 0.3
FT Gs (All M)):  2.3 VS 1.9
FT Gs (Last 5):  2.0 VS 1.8
FT Gs (AHR):  0.5 VS 1.7

Scored at least 1 Goal (All M):  0.86 VS 0.86
Scored at least 1 Goal (Last 5)):  0.8 VS 0.8
Scored at least 1 Goal (AHR):  0.5 VS 0.83
"
8,2024-12-14,Carlisle,Chesterfield,"1,00","2,26","Action: Double Chance X2 
","Home: Carlisle, Away: Chesterfield
Pts (All M): 14 VS 28
Pts Against Higher: 2 VS 13
Pts (Last 5): 3 VS 7
Position: 23 VS 9

BTTS (All M): 0.56 VS 0.33
Shots (All M):  12.7 VS 10.6
Shots (Last 5):  13.2 VS 9.8
Shots (AHR):  11.2 VS 10.6

Shots Tar (All M):  4.0 VS 4.1
Shots Tar (Last 5):  4.4 VS 3.8
Shots Tar (AHR):  4.0 VS 4.1

HT Gs (All M)):  0.8 VS 1.0
HT Gs (Last 5):  0.4 VS 0.8
HT Gs (AHR):  0.8 VS 1.0
FT Gs (All M)):  0.9 VS 2.1
FT Gs (Last 5):  0.4 VS 2.2
FT Gs (AHR):  0.8 VS 2.1

Scored at least 1 Goal (All M):  0.67 VS 0.67
Scored at least 1 Goal (Last 5)):  0.4 VS 0.8
Scored at least 1 Goal (AHR):  0.5 VS 0.67
"
18,2024-12-14,Frosinone,Sassuolo,"0,15","1,66","Action: Double Chance X2 
","Home: Frosinone, Away: Sassuolo
Pts (All M): 16 VS 37
Pts Against Higher: 1 VS 18
Pts (Last 5): 5 VS 13
Position: 18 VS 1

BTTS (All M): 0.5 VS 0.5
Shots (All M):  14.5 VS 12.9
Shots (Last 5):  15.0 VS 13.4
Shots (AHR):  18.5 VS 12.9

Shots Tar (All M):  4.8 VS 5.2
Shots Tar (Last 5):  4.0 VS 5.4
Shots Tar (AHR):  4.5 VS 5.2

HT Gs (All M)):  0.5 VS 0.6
HT Gs (Last 5):  0.6 VS 0.6
HT Gs (AHR):  0.0 VS 0.6
FT Gs (All M)):  0.9 VS 1.9
FT Gs (Last 5):  0.8 VS 2.2
FT Gs (AHR):  0.0 VS 1.9

Scored at least 1 Goal (All M):  0.5 VS 1.0
Scored at least 1 Goal (Last 5)):  0.4 VS 1.0
Scored at least 1 Goal (AHR):  0.0 VS 1.0
"
4,2024-12-14,Blackburn,Luton,"1,87","0,17","Action: Draw no bet 1X 
","Home: Blackburn, Away: Luton
Pts (All M): 31 VS 19
Pts Against Higher: 19 VS 0
Pts (Last 5): 7 VS 0
Position: 5 VS 18

BTTS (All M): 0.22 VS 0.44
Shots (All M):  13.1 VS 10.3
Shots (Last 5):  12.2 VS 8.2
Shots (AHR):  13.1 VS 6.7

Shots Tar (All M):  4.6 VS 3.7
Shots Tar (Last 5):  3.0 VS 3.4
Shots Tar (AHR):  4.6 VS 3.0

HT Gs (All M)):  0.6 VS 0.4
HT Gs (Last 5):  0.4 VS 0.6
HT Gs (AHR):  0.6 VS 0.0
FT Gs (All M)):  1.4 VS 0.8
FT Gs (Last 5):  0.4 VS 1.0
FT Gs (AHR):  1.4 VS 0.3

Scored at least 1 Goal (All M):  0.67 VS 0.56
Scored at least 1 Goal (Last 5)):  0.4 VS 0.6
Scored at least 1 Goal (AHR):  0.67 VS 0.33
"
6,2024-12-14,Sheffield United,Plymouth,"1,92","0,13","Action: Draw no bet 1X 
","Home: Sheffield United, Away: Plymouth
Pts (All M): 41 VS 17
Pts Against Higher: 25 VS 0
Pts (Last 5): 15 VS 1
Position: 1 VS 22

BTTS (All M): 0.11 VS 0.3
Shots (All M):  15.0 VS 7.2
Shots (Last 5):  14.0 VS 6.2
Shots (AHR):  15.0 VS 3.5

Shots Tar (All M):  4.9 VS 1.8
Shots Tar (Last 5):  5.2 VS 2.0
Shots Tar (AHR):  4.9 VS 0.0

HT Gs (All M)):  0.9 VS 0.3
HT Gs (Last 5):  0.8 VS 0.4
HT Gs (AHR):  0.9 VS 0.0
FT Gs (All M)):  1.6 VS 0.3
FT Gs (Last 5):  1.8 VS 0.4
FT Gs (AHR):  1.6 VS 0.0

Scored at least 1 Goal (All M):  1.0 VS 0.3
Scored at least 1 Goal (Last 5)):  1.0 VS 0.4
Scored at least 1 Goal (AHR):  1.0 VS 0.0
"
