,Date,Home Team,Away Team,Prediction 1,Prediction 2,Decision
0,2024-12-03,AFC Wimbledon,Newport County,"1,53","0,40",No decision Made
1,2024-12-03,Bradford,Barrow,"1,12","0,59",No decision Made
2,2024-12-03,Cheltenham,Port Vale,"-1,00","-1,00",No decision Made
3,2024-12-03,Colchester,Swindon,"1,57","1,57",No decision Made
4,2024-12-03,Grimsby,Accrington,"1,54","1,78",No decision Made
5,2024-12-03,Milton Keynes Dons,Chesterfield,"0,75","2,03",No decision Made
6,2024-12-03,Salford,Harrogate,"0,93","0,93",No decision Made
7,2024-12-03,Tranmere,Morecambe,"0,64","0,95",No decision Made
8,2024-12-03,Walsall,Notts County,"1,34","1,04",No decision Made
9,2024-12-03,Bolton,Mansfield,"1,79","0,97",No decision Made
10,2024-12-03,Charlton,Crawley Town,"1,57","0,66",No decision Made
11,2024-12-03,Exeter,Wycombe,"-1,00","-1,00",No decision Made
12,2024-12-03,Huddersfield,Wigan,"1,21","0,72",No decision Made
13,2024-12-03,Leyton Orient,Bristol Rvs,"0,60","0,75",No decision Made
14,2024-12-03,Reading,Cambridge,"2,12","0,52","Action: Draw no bet 1X 
"
15,2024-12-03,Rotherham,Lincoln,"1,25","0,49",No decision Made
16,2024-12-03,Stevenage,Northampton,"1,72","0,95",No decision Made
17,2024-12-03,Wrexham,Barnsley,"-1,00","-1,00",No decision Made
