,team,TotalElo,HomeTotalElo,HomeWins,AwayWins,AwayTotalElo,HomeAttackElo,HomeDefenseElo,AwayAttackElo,AwayDefenseElo,AttHS,AttHST,AttHC,AttHF,AttHY,AttHR,AttFTHG,AttHTHG,AttCHS,AttCHST,AttCHC,AttCHF,AttCHY,AttCHR,AttCFTHG,AttCHTHG,AttAS,AttAST,AttAC,AttAF,AttAY,AttAR,AttFTAG,AttHTAG,AttCAS,AttCAST,AttCAC,AttCAF,AttCAY,AttCAR,AttCFTAG,AttCHTAG,ser
21,AFC Wimbledon,7.3,8.4,A,A,6.2,9.0,8.0,6.5,6,12.94,4.88,4.75,12.75,2.12,0.0,1.81,0.88,7.25,2.12,3.62,10.38,2.31,0.19,0.56,0.31,12.0,3.71,5.0,14.43,2.07,0.0,1.0,0.36,9.57,3.43,4.57,9.86,2.14,0.0,0.79,0.43,leagueTwo
122,AVS,3.2,4.6,A,A,1.8,1,7.0,0,3.0,10.91,3.09,3.18,12.45,2.55,0.18,0.82,0.18,12.91,4.27,4.91,12.45,1.55,0.0,1.27,0.82,9.82,2.18,4.0,14.36,2.82,0.18,0.73,0.55,14.18,5.18,5.18,11.45,1.27,0.0,1.64,1.0,portugal
13,AZ Alkmaar,8.45,8.1,A,A,8.8,8.0,8.5,9.0,8.0,16.75,6.08,5.75,9.25,1.0,0.08,1.92,0.5,9.58,3.17,2.75,10.42,2.17,0.0,1.0,0.5,12.18,4.73,5.82,10.82,2.09,0.09,1.45,0.82,9.18,2.45,4.64,11.73,2.45,0.45,0.82,0.18,ered
118,Aberdeen,5.1,7.0,A,A,3.2,7.0,7.0,2,4.0,12.77,4.0,5.62,11.08,2.69,0.0,1.54,0.54,10.08,3.23,4.38,15.54,2.69,0.15,1.23,0.62,10.62,4.0,5.38,11.31,2.62,0.08,1.08,0.38,18.15,5.69,8.15,10.23,1.69,0.0,1.77,0.77,scotchamp
34,Accrington,4.85,4.0,A,A,5.7,2.5,5.0,6,5.5,9.57,3.07,4.21,13.71,2.36,0.0,1.07,0.79,10.07,3.36,5.43,10.93,1.64,0.0,1.36,0.57,11.19,4.06,4.38,16.69,3.19,0.06,1.19,0.38,10.06,3.5,4.38,10.19,2.38,0.06,1.81,0.69,leagueTwo
9,Ajax,8.55,9.7,A,A,7.4,10.0,8.5,7.5,7.0,15.25,6.33,6.67,10.17,1.08,0.0,2.5,1.33,9.08,3.17,2.17,10.75,1.08,0.17,0.58,0.17,12.36,5.0,4.0,11.73,2.09,0.0,1.91,0.55,11.55,3.82,4.64,12.64,1.64,0.09,1.0,0.36,ered
101,Alaves,4.35,5.6,A,A,3.1,5.5,6,2.5,5.5,10.58,3.42,6.17,14.67,2.17,0.17,0.83,0.33,8.5,3.25,4.25,13.5,2.92,0.0,1.08,0.5,10.38,3.54,2.92,17.31,3.15,0.0,1.38,0.62,10.54,4.31,4.46,13.77,3.15,0.31,2.0,0.69,laliga
4,Almere City,1.45,2.1,A,A,0.8,1,6.5,0,4.0,11.91,3.91,4.27,10.55,1.27,0.27,0.82,0.27,13.64,5.82,6.45,9.73,1.64,0.09,2.55,0.91,9.83,2.83,3.67,11.25,2.17,0.0,0.5,0.42,15.67,5.42,7.08,7.92,1.0,0.08,1.58,0.75,ered
91,Anderlecht,6.25,8.2,A,A,4.3,8.5,8.0,2.5,5.5,15.77,5.69,5.54,8.54,1.23,0.0,2.08,1.0,10.92,4.38,3.62,13.23,2.15,0.15,1.0,0.54,10.92,4.38,5.08,10.46,2.0,0.15,1.38,0.46,15.69,4.85,6.62,12.46,2.0,0.23,0.77,0.46,jupiler
111,Angers,2.65,2.6,A,A,2.7,2,5,1.5,7.5,9.82,3.18,3.64,9.91,1.45,0.09,1.27,0.45,15.09,7.18,4.82,12.73,2.45,0.27,1.91,1.09,9.5,3.08,3.42,11.42,1.17,0.08,1.0,0.5,12.0,4.5,4.0,12.58,2.75,0.25,1.08,0.33,ligue1
103,Antwerp,4.3,5.1,A,A,3.5,4.5,5.5,2,4.5,14.92,5.67,5.83,10.42,1.83,0.0,2.38,0.92,15.33,6.33,4.33,9.5,2.0,0.08,1.08,0.67,11.54,4.23,5.38,12.0,2.23,0.15,1.08,0.69,14.31,5.38,5.69,12.38,2.31,0.08,1.15,0.46,jupiler
129,Arouca,3.4,3.5,A,A,3.3,0.5,5.5,3,3.5,11.3,3.3,6.7,15.4,2.5,0.1,0.7,0.2,12.0,3.3,4.6,12.0,1.9,0.0,1.1,0.4,11.92,3.75,5.75,14.33,3.0,0.17,1.17,0.75,14.67,4.5,6.0,14.25,2.83,0.17,1.92,0.92,portugal
22,Arsenal,7.35,9.3,A,A,5.4,9.5,8.5,5.0,7.0,17.38,6.15,7.92,11.31,1.69,0.15,2.08,0.92,7.69,2.31,1.85,9.92,2.23,0.0,0.85,0.23,10.38,3.77,4.69,11.38,2.23,0.23,1.85,0.92,12.15,4.23,3.77,11.46,2.54,0.08,0.92,0.54,prem
36,Aston Villa,4.75,7.0,A,A,2.5,7.0,7.0,2,4.5,15.0,5.27,7.8,11.2,1.87,0.0,1.67,0.73,10.07,3.53,3.27,12.67,3.13,0.07,1.2,0.53,10.08,3.0,4.83,12.42,2.08,0.17,1.17,0.5,14.17,5.17,5.75,14.08,2.0,0.08,1.92,0.75,prem
144,Atalanta,9.15,9.7,A,A,8.6,10.0,8.5,9.0,7.0,15.5,6.58,5.17,10.83,1.25,0.0,2.42,1.25,8.08,3.75,1.92,12.58,1.58,0.0,1.33,0.75,13.93,4.93,4.64,12.07,2.36,0.0,2.14,1.07,11.93,4.07,3.36,10.0,1.43,0.07,0.71,0.36,seriea
85,Ath Bilbao,8.35,9.2,A,A,7.5,9.5,8.0,7.5,7.5,14.77,5.46,5.62,13.0,1.77,0.08,2.0,1.23,7.38,2.38,3.62,10.08,2.15,0.08,0.62,0.08,12.67,3.92,5.75,12.33,1.67,0.17,1.5,0.58,9.17,3.75,3.75,11.5,2.5,0.08,1.17,0.5,laliga
102,Ath Madrid,6.0,8.0,A,A,4.0,8.0,8.0,3.5,6,14.69,5.77,6.0,10.92,2.46,0.15,1.85,0.38,7.46,2.0,3.54,12.38,2.08,0.0,0.62,0.38,9.75,3.42,3.58,10.08,2.0,0.0,1.5,0.75,14.17,4.17,4.42,10.92,1.08,0.0,0.67,0.42,laliga
67,Augsburg,4.5,6.5,A,A,2.5,6.5,6.5,2,4.5,13.91,4.91,6.45,11.18,2.82,0.09,1.27,0.64,11.0,3.82,5.27,11.45,2.18,0.18,1.09,0.55,9.08,2.5,3.17,11.25,2.42,0.08,1.08,0.5,14.67,5.58,5.0,11.67,1.17,0.08,1.92,1.0,bundesliga
110,Auxerre,4.5,5.0,A,A,4.0,4.5,7.0,3.5,6.0,11.5,4.75,3.0,10.58,1.67,0.08,1.67,0.75,12.08,4.67,6.42,11.75,1.33,0.08,0.83,0.5,10.64,4.36,4.09,13.0,2.09,0.27,1.27,0.82,13.73,5.82,5.09,11.27,1.55,0.0,2.45,0.82,ligue1
96,Barcelona,9.4,9.8,A,A,9.0,10.0,9.0,9.5,7.0,18.18,6.91,7.73,8.36,1.18,0.0,2.64,1.64,6.64,2.36,3.45,13.0,2.27,0.0,0.82,0.18,15.21,6.0,5.14,9.21,2.29,0.21,2.71,0.93,10.14,4.0,5.36,13.43,3.0,0.0,1.14,0.64,laliga
71,Bari,4.25,5.5,A,A,3.0,5.5,5.5,1.5,4,14.07,3.86,5.36,15.07,2.36,0.07,1.36,0.79,13.5,4.86,4.36,16.86,2.93,0.14,1.07,0.29,12.58,3.58,4.5,14.42,3.0,0.0,0.83,0.58,16.08,4.83,3.83,15.75,2.58,0.25,0.92,0.33,serieb
45,Barnsley,6.35,6.8,A,A,5.9,6.5,7.0,5.0,6.5,14.75,5.19,6.69,10.81,2.0,0.06,1.31,0.69,10.75,4.38,5.25,10.19,1.62,0.0,1.44,0.38,11.6,4.4,6.33,11.27,2.07,0.07,1.47,0.6,10.6,4.4,5.07,9.33,1.93,0.07,1.33,0.4,leagueOne
